obsra,obsdec,z_helio,quality,specid
+10:40:53.69,-36:17:16.5,     +0.008800,          4,               51037
+12:48:21.55,-41:42:51.7,     +0.008799,          4,               62608
+14:46:38.65,-18:30:47.8,     +0.008798,          4,               76088
+09:56:59.50,-34:42:59.8,     +0.008790,          3,              127372
+14:50:03.96,-19:30:19.3,     +0.008790,          4,               76101
+15:03:46.63,-25:52:22.8,     +0.008787,          3,               77477
+13:21:34.65,-15:10:55.8,     +0.008785,          4,              128676
+22:03:48.36,-31:57:20.9,     +0.008785,          4,              106240
+12:22:12.73,-33:29:04.5,     +0.008784,          4,               58619
+03:53:18.28,-10:26:47.9,     +0.008779,          4,              118354
+14:47:35.44,-18:04:13.8,     +0.008778,          4,               76073
+10:54:55.22,-09:55:11.4,     +0.008777,          4,               52732
+15:00:11.79,-27:06:38.7,     +0.008777,          3,               77478
+10:41:27.72,-31:46:49.0,     +0.008776,          4,               51927
+13:30:41.20,-18:01:07.7,     +0.008776,          4,              128829
+10:04:49.55,-32:10:39.3,     +0.008774,          3,               48148
+22:02:06.64,-43:16:07.0,     +0.008771,          4,              104451
+21:10:00.47,-37:30:13.8,     +0.008771,          4,              100204
+14:13:30.09,-29:35:40.6,     +0.008770,          3,               72810
+20:35:57.87,-50:11:32.1,     +0.008768,          4,               94950
+06:13:42.15,-23:33:16.0,     +0.008767,          4,               36287
+15:00:11.79,-27:06:38.7,     +0.008766,          4,               76810
+11:56:40.39,-39:42:48.6,     +0.008765,          4,               56804
+13:57:54.21,-29:18:56.4,     +0.008757,          4,               70755
+22:19:32.65,-47:57:36.1,     +0.008751,          3,              135473
+22:15:09.39,-32:37:49.9,     +0.008750,          4,              106254
+06:40:43.21,-58:31:28.5,     +0.008747,          4,               38786
+10:01:51.83,-28:30:37.4,     +0.008746,          4,               48183
+09:51:59.98,-25:18:45.0,     +0.008746,          3,               46675
+13:09:44.08,-16:36:07.7,     +0.008745,          4,               65110
+22:06:55.26,-31:03:11.1,     +0.008744,          4,              106693
+09:46:48.39,-33:36:12.9,     +0.008741,          4,              118907
+13:04:31.12,-42:14:06.6,     +0.008740,          4,               63821
+10:03:57.42,-31:46:35.4,     +0.008740,          4,               48149
+14:17:40.27,-07:25:02.7,     +0.008739,          4,               74165
+21:17:04.10,-09:00:29.0,     +0.008738,          4,              100051
+13:07:44.87,-22:51:28.3,     +0.008734,          4,               65391
+10:34:19.02,-34:24:12.3,     +0.008729,          4,               50505
+22:16:29.09,-21:25:50.5,     +0.008727,          4,              106086
+14:48:00.85,-24:53:11.5,     +0.008726,          4,               75648
+13:00:31.87,-34:22:25.9,     +0.008725,          4,               64928
+09:59:51.17,-40:04:39.6,     +0.008725,          4,               48341
+12:48:58.09,-39:09:07.3,     +0.008722,          4,               61835
+20:06:41.08,-48:38:59.2,     +0.008716,          4,               92466
+09:55:09.52,-33:12:36.8,     +0.008711,          4,              119010
+14:11:28.57,-26:12:14.3,     +0.008711,          4,               73351
+21:49:45.99,-34:52:34.6,     +0.008711,          4,              103235
+04:42:57.31,-08:05:26.5,     +0.008711,          4,               26803
+13:36:00.77,-23:55:17.9,     +0.008710,          4,               66719
+09:25:22.55,-23:11:14.4,     +0.008709,          4,               44639
+22:03:47.84,-32:17:06.0,     +0.008708,          4,              106239
+12:07:22.10,-40:13:04.4,     +0.008708,          4,               59332
+20:09:25.62,-48:17:05.4,     +0.008707,          4,               92467
+12:46:08.90,-41:03:39.6,     +0.008705,          3,               62628
+10:29:51.28,-35:09:51.0,     +0.008705,          4,               50453
+12:07:22.10,-40:13:04.4,     +0.008704,          4,               58818
+14:47:46.38,-19:04:42.8,     +0.008702,          4,              129101
+10:23:07.59,-42:14:15.1,     +0.008701,          4,               48435
+22:18:24.30,-22:03:10.7,     +0.008700,          3,              106094
+12:56:28.24,-36:22:15.4,     +0.008700,          4,               63655
+13:21:37.81,-14:51:19.9,     +0.008699,          4,               66943
+20:08:19.47,-48:12:41.1,     +0.008693,          4,               91755
+22:17:41.18,-27:21:55.0,     +0.008692,          4,              106844
+11:24:39.35,-37:23:41.5,     +0.008690,          4,               55326
+10:29:45.74,-35:42:21.1,     +0.008688,          4,               50437
+03:55:10.81,-10:09:03.6,     +0.008688,          4,               22918
+20:49:01.90,-47:17:55.2,     +0.008687,          4,               96737
+11:48:54.87,-04:40:55.0,     +0.008686,          4,               56058
+09:23:30.21,-23:09:41.2,     +0.008685,          4,               44630
+22:46:03.73,-11:00:04.0,     +0.008683,          4,              110940
+10:14:44.14,-34:20:19.3,     +0.008682,          4,               48701
+12:07:22.10,-40:13:04.4,     +0.008678,          4,               58065
+19:47:26.34,-47:55:09.9,     +0.008677,          4,               91715
+13:24:32.76,-21:08:12.6,     +0.008677,          4,               65855
+22:26:39.36,-24:52:17.9,     +0.008673,          4,              108647
+07:16:29.97,-52:05:11.2,     +0.008672,          4,               39360
+21:19:51.33,-08:46:58.6,     +0.008669,          4,              100047
+23:06:35.54,-36:14:59.4,     +0.008669,          4,              111702
+08:23:40.19,-60:52:35.6,     +0.008668,          4,               42122
+18:55:26.09,-57:43:43.3,     +0.008668,          4,               88368
+05:13:02.56,-09:12:38.4,     +0.008660,          4,               29810
+06:47:56.37,-39:06:52.7,     +0.008659,          4,              126119
+12:44:10.00,-41:44:59.8,     +0.008654,          4,               61143
+01:03:10.43,-03:36:36.6,     +0.008654,          4,              122199
+22:08:55.94,-27:13:22.2,     +0.008651,          4,              105527
+13:00:52.95,-13:26:59.3,     +0.008648,          4,               62858
+09:59:08.66,-34:13:30.8,     +0.008648,          4,               47174
+14:48:00.85,-24:53:11.5,     +0.008646,          3,               76773
+09:34:11.19,-11:31:38.7,     +0.008644,          4,              118692
+21:28:35.58,-37:35:13.4,     +0.008642,          4,              101402
+09:33:14.87,-37:51:58.8,     +0.008639,          4,               45603
+10:32:08.44,-34:40:29.6,     +0.008635,          4,               50486
+06:43:03.97,-23:21:19.3,     +0.008633,          3,               37471
+14:30:47.77,-09:13:27.3,     +0.008630,          4,               74237
+08:56:56.30,-20:31:38.5,     +0.008628,          4,               42789
+14:12:24.18,-30:38:38.7,     +0.008628,          4,               73762
+11:17:04.50,-34:57:19.0,     +0.008627,          4,               53098
+13:08:54.79,-16:36:10.4,     +0.008625,          4,               65576
+12:40:55.21,-40:58:35.0,     +0.008623,          4,               62616
+12:20:39.38,-31:30:00.5,     +0.008620,          4,               59548
+02:50:39.19,-01:44:02.6,     +0.008619,          4,               16432
+13:19:42.75,-11:28:28.4,     +0.008619,          4,               66417
+12:20:39.38,-31:30:00.5,     +0.008617,          4,               59283
+06:07:19.70,-22:04:08.7,     +0.008616,          4,              125988
+10:00:40.84,-31:39:51.5,     +0.008613,          4,               48154
+21:21:08.85,-47:30:54.3,     +0.008612,          4,               99436
+12:31:53.67,-51:44:51.9,     +0.008610,          4,               60185
+21:50:50.81,-33:33:34.5,     +0.008609,          4,              103301
+13:16:48.75,-16:20:39.7,     +0.008602,          4,               65593
+13:09:31.93,-16:37:26.0,     +0.008602,          4,               63953
+14:25:54.22,-07:22:49.6,     +0.008600,          4,               74161
+13:18:13.57,-12:03:00.9,     +0.008599,          3,               66408
+09:52:50.67,-33:44:31.0,     +0.008598,          4,              127349
+10:31:24.15,-35:13:13.7,     +0.008597,          4,               51007
+05:14:06.13,-10:37:36.8,     +0.008594,          4,               31024
+13:35:41.39,-24:04:25.8,     +0.008586,          4,               68132
+12:45:03.69,-41:00:51.4,     +0.008583,          4,               61765
+22:16:50.80,-21:14:59.9,     +0.008581,          4,              106085
+14:47:33.66,-19:45:50.8,     +0.008579,          4,               76237
+18:55:35.64,-53:43:24.4,     +0.008577,          4,               87841
+20:11:01.52,-48:41:26.1,     +0.008574,          4,               91764
+10:47:00.79,-09:56:28.8,     +0.008573,          4,               50699
+09:59:16.77,-40:04:25.4,     +0.008573,          4,               47229
+20:22:29.11,-41:54:03.1,     +0.008567,          4,               94777
+13:38:08.39,-39:50:21.1,     +0.008566,          4,               68306
+06:20:17.06,-57:32:04.1,     +0.008566,          4,               35882
+13:00:05.24,-34:26:01.3,     +0.008564,          4,               63657
+10:14:47.45,-39:48:23.6,     +0.008563,          4,               48395
+22:25:30.33,-17:14:35.9,     +0.008562,          4,              107313
+21:46:39.74,-36:12:19.4,     +0.008559,          4,              103325
+03:19:25.15,-13:59:22.6,     +0.008557,          4,               20090
+20:32:10.09,-49:30:56.3,     +0.008557,          4,               94993
+12:38:03.33,-02:15:49.6,     +0.008551,          4,               61213
+21:18:30.55,-09:01:52.3,     +0.008549,          4,              100050
+22:26:39.36,-24:52:17.9,     +0.008547,          4,              106820
+13:04:20.84,-35:13:39.7,     +0.008547,          4,               64926
+02:38:11.56,-01:19:07.3,     +0.008547,          4,               15405
+09:16:19.75,-23:37:59.7,     +0.008547,          4,               44618
+10:33:18.63,-15:46:24.0,     +0.008543,          4,               50130
+09:59:06.42,-27:07:43.9,     +0.008539,          4,               46736
+13:33:35.85,-38:52:49.6,     +0.008535,          3,               68321
+12:46:55.62,-41:29:48.3,     +0.008535,          4,               61137
+05:28:01.98,-05:18:38.4,     +0.008534,          4,               31266
+20:26:56.22,-39:36:58.3,     +0.008534,          4,               95978
+09:31:36.90,-30:18:26.5,     +0.008533,          4,              127046
+05:40:35.91,-54:36:41.9,     +0.008533,          4,               32088
+12:39:20.66,-03:48:40.3,     +0.008531,          4,               61258
+14:51:13.81,-26:37:52.2,     +0.008531,          4,               75481
+22:02:01.87,-31:52:11.1,     +0.008530,          4,              103967
+16:34:09.09,-84:08:34.1,     +0.008530,          4,               83892
+20:34:02.10,-52:58:52.3,     +0.008529,          4,              130634
+09:16:19.74,-23:37:59.6,     +0.008528,          4,              126927
+02:58:21.60,-02:02:33.1,     +0.008522,          4,               16445
+20:17:20.52,-38:40:25.5,     +0.008521,          4,               93291
+20:34:15.47,-50:50:32.5,     +0.008518,          4,               94949
+10:45:10.88,-10:03:53.1,     +0.008516,          4,               51625
+20:37:03.11,-50:05:38.0,     +0.008513,          4,              130730
+04:21:19.38,-31:38:04.5,     +0.008513,          4,               26084
+22:03:28.16,-10:43:01.5,     +0.008512,          3,              104555
+12:43:50.91,-00:33:40.6,     +0.008511,          4,               61228
+08:37:19.14,-20:56:24.0,     +0.008505,          4,               42198
+12:39:54.38,-05:21:25.6,     +0.008505,          4,               61614
+10:27:42.40,-40:00:09.8,     +0.008504,          4,               50035
+19:44:52.24,-54:27:23.9,     +0.008502,          4,               90238
+21:55:20.55,-25:00:04.1,     +0.008499,          4,              104788
+14:31:32.59,-25:23:14.6,     +0.008498,          4,               73408
+10:38:50.56,-11:38:55.9,     +0.008497,          4,               51451
+14:24:18.42,-24:31:17.2,     +0.008496,          4,               74567
+08:57:01.12,-24:40:25.5,     +0.008496,          4,               43225
+15:15:08.80,-22:48:15.9,     +0.008494,          4,              129519
+22:19:50.66,-26:20:29.8,     +0.008494,          4,              106843
+05:27:09.20,-06:07:05.0,     +0.008493,          4,               31272
+22:09:22.91,-25:25:04.7,     +0.008493,          4,              135267
+13:01:56.45,-13:54:02.3,     +0.008490,          4,               64354
+20:13:27.71,-37:11:19.7,     +0.008489,          4,               92304
+14:29:51.47,-25:35:52.4,     +0.008488,          4,               74555
+10:28:19.23,-35:45:30.9,     +0.008487,          4,               49032
+12:07:30.50,-30:11:55.6,     +0.008487,          4,               57960
+11:46:55.61,-05:11:15.8,     +0.008485,          4,               56069
+21:34:07.94,-36:39:13.4,     +0.008484,          4,              100513
+14:31:32.59,-25:23:14.6,     +0.008483,          4,               75309
+13:05:04.93,-22:23:02.2,     +0.008483,          4,               63518
+21:40:12.91,-42:32:21.8,     +0.008482,          4,              103109
+09:31:36.90,-30:18:26.5,     +0.008480,          4,               44880
+14:32:07.60,-25:27:04.0,     +0.008478,          4,               74551
+09:15:43.30,-23:42:04.6,     +0.008476,          4,               44617
+09:45:31.20,-21:04:58.4,     +0.008469,          3,               45677
+14:58:49.42,-26:08:52.6,     +0.008469,          4,               76834
+15:19:03.57,-23:49:14.8,     +0.008468,          4,               78125
+13:09:10.58,-40:54:29.9,     +0.008467,          4,               65252
+13:18:59.09,-18:35:16.7,     +0.008465,          4,               65823
+14:51:13.81,-26:37:52.2,     +0.008465,          4,               75377
+09:16:47.98,-26:48:58.5,     +0.008464,          4,              126968
+08:57:45.82,-19:04:16.3,     +0.008461,          4,               44059
+10:00:38.41,-32:22:01.0,     +0.008453,          4,               48152
+12:07:30.50,-30:11:55.6,     +0.008453,          4,              128214
+14:58:49.42,-26:08:52.6,     +0.008450,          4,               77483
+13:35:22.57,-22:59:36.4,     +0.008449,          4,               67740
+13:11:47.04,-18:47:31.3,     +0.008448,          4,               65796
+09:31:36.90,-30:18:26.5,     +0.008445,          4,               44773
+14:31:32.59,-25:23:14.6,     +0.008444,          4,               75413
+05:20:51.41,-12:08:09.8,     +0.008441,          4,               31100
+09:46:48.76,-34:32:19.6,     +0.008440,          4,               45567
+21:53:56.21,-43:18:29.7,     +0.008439,          4,              104477
+04:30:59.65,-02:00:12.0,     +0.008437,          4,               26442
+09:23:47.69,-25:38:16.5,     +0.008435,          4,              126951
+10:12:37.63,-34:43:43.8,     +0.008432,          4,               48610
+09:31:06.94,-30:21:29.8,     +0.008429,          4,              127045
+08:51:52.25,-24:18:49.6,     +0.008424,          3,               43238
+13:00:13.28,-41:13:27.2,     +0.008422,          4,               62653
+23:33:10.50,-01:17:31.2,     +0.008420,          4,              115520
+09:52:50.67,-33:44:31.0,     +0.008418,          4,               46289
+13:02:32.70,-41:19:30.7,     +0.008415,          4,              120606
+19:45:15.15,-54:20:38.9,     +0.008413,          4,               90234
+13:54:54.64,-28:22:08.6,     +0.008412,          4,               71342
+14:38:24.35,-18:41:27.1,     +0.008410,          4,              129039
+20:23:54.31,-37:37:25.7,     +0.008410,          4,               94684
+09:30:16.46,-30:36:40.0,     +0.008410,          4,               44883
+22:06:09.60,-31:05:17.7,     +0.008409,          3,              105565
+09:46:18.66,-30:26:14.9,     +0.008407,          4,              118965
+13:19:17.52,-15:09:25.3,     +0.008405,          4,               66937
+09:13:17.76,-30:37:21.9,     +0.008405,          4,               44814
+13:04:34.92,-42:01:36.5,     +0.008404,          4,               62662
+14:53:43.77,-22:05:31.8,     +0.008402,          4,               76293
+23:04:19.10,-79:27:57.5,     +0.008398,          4,              114049
+13:14:30.42,-17:32:00.9,     +0.008396,          4,               65620
+07:02:30.42,-28:32:18.3,     +0.008395,          3,               38941
+21:39:53.71,-42:36:41.7,     +0.008395,          4,              104409
+22:47:47.70,-11:48:59.9,     +0.008393,          4,              110768
+11:21:52.32,-34:54:59.4,     +0.008392,          4,               54737
+13:38:41.70,-45:51:21.5,     +0.008388,          4,               67914
+13:17:12.40,-17:15:16.1,     +0.008386,          4,               65633
+21:47:42.01,-43:07:23.3,     +0.008385,          4,              102385
+10:51:23.10,-10:08:00.4,     +0.008383,          4,               50846
+12:40:01.85,-03:36:24.7,     +0.008382,          4,               61255
+10:29:01.46,-44:39:24.6,     +0.008381,          4,               49302
+09:41:20.65,-28:57:41.9,     +0.008379,          4,               45958
+08:57:45.82,-19:04:16.3,     +0.008379,          4,               42775
+09:31:06.94,-30:21:29.8,     +0.008375,          4,               44774
+08:50:45.48,-21:57:48.1,     +0.008372,          4,               43257
+21:38:12.48,-43:56:04.2,     +0.008372,          4,              102348
+09:13:17.76,-30:37:22.0,     +0.008369,          4,              127018
+12:02:27.52,-19:06:02.5,     +0.008368,          4,               57868
+13:33:50.06,-12:07:50.1,     +0.008368,          4,               67323
+12:45:14.94,-40:49:27.3,     +0.008363,          4,               61837
+09:59:06.42,-27:07:43.9,     +0.008360,          4,               47868
+13:37:04.90,-11:49:47.5,     +0.008359,          4,               69010
+21:13:08.13,-10:49:36.3,     +0.008353,          4,               99871
+12:48:34.16,-18:07:42.3,     +0.008348,          4,               62882
+22:02:08.45,-31:59:23.3,     +0.008348,          4,              106236
+13:17:10.78,-16:13:46.3,     +0.008348,          4,               65121
+20:18:18.13,-44:48:25.1,     +0.008346,          4,               94122
+09:54:21.35,-22:44:59.2,     +0.008340,          4,               46677
+09:41:43.11,-28:11:29.4,     +0.008339,          3,               45964
+06:02:48.04,-03:17:13.6,     +0.008339,          4,               34502
+09:14:20.22,-23:03:04.4,     +0.008337,          4,              126917
+09:12:12.78,-30:54:39.7,     +0.008333,          4,              127015
+23:35:46.14,-02:52:51.3,     +0.008330,          4,              113912
+09:31:06.94,-30:21:29.8,     +0.008330,          4,               44881
+14:38:26.74,-22:22:03.4,     +0.008325,          4,               75337
+09:30:16.45,-30:36:40.1,     +0.008321,          4,              127047
+10:28:19.23,-35:45:30.9,     +0.008318,          4,               50345
+09:44:13.03,-28:50:56.0,     +0.008314,          4,               45381
+12:28:50.75,-02:03:38.8,     +0.008308,          4,               61187
+13:16:55.35,-17:56:42.0,     +0.008305,          4,               65810
+13:55:22.23,-44:28:42.2,     +0.008303,          4,               71015
+21:34:31.98,-44:18:53.1,     +0.008302,          4,              103095
+05:23:14.78,-11:25:29.3,     +0.008301,          4,               31090
+09:56:21.28,-31:18:04.4,     +0.008297,          4,               46005
+14:01:52.51,-79:23:52.9,     +0.008296,          4,               72662
+22:09:05.76,-31:47:41.7,     +0.008294,          4,              106689
+10:59:26.17,-07:32:37.1,     +0.008290,          4,               51683
+10:53:12.53,-07:25:43.2,     +0.008284,          4,               51695
+10:14:34.88,-27:41:34.2,     +0.008278,          4,               48201
+21:59:17.84,-43:52:01.3,     +0.008277,          4,              104460
+13:38:57.15,-25:50:44.3,     +0.008274,          4,               68177
+11:42:34.81,-16:52:10.0,     +0.008273,          4,               55730
+08:57:58.07,-24:49:06.5,     +0.008271,          4,               42966
+22:00:55.87,-35:17:13.2,     +0.008267,          4,              105612
+09:00:09.32,-18:54:06.5,     +0.008261,          4,               44057
+13:28:48.28,-37:25:53.7,     +0.008259,          4,               67614
+02:12:54.66,-19:19:00.8,     +0.008259,          4,               12038
+10:33:30.67,-14:47:35.6,     +0.008255,          4,               51238
+06:52:21.43,-27:21:35.9,     +0.008254,          4,               38916
+20:32:13.74,-48:31:50.6,     +0.008247,          4,               94994
+13:58:39.57,-43:57:49.4,     +0.008242,          4,               71061
+03:08:56.74,-02:57:18.5,     +0.008239,          4,               18779
+06:44:22.52,-26:06:31.8,     +0.008231,          4,               38896
+22:23:10.11,-33:39:53.5,     +0.008230,          4,              106265
+12:54:51.08,-11:53:31.4,     +0.008230,          4,               62850
+10:10:25.45,-27:52:13.1,     +0.008229,          3,               48562
+21:54:22.87,-31:58:09.2,     +0.008227,          4,              103986
+09:53:58.64,-27:17:10.8,     +0.008227,          4,               46979
+14:38:26.74,-22:22:03.4,     +0.008226,          4,               75441
+20:17:20.48,-44:30:55.3,     +0.008225,          3,               94129
+09:38:46.04,-28:42:08.4,     +0.008218,          4,               45385
+21:57:09.76,-33:28:43.8,     +0.008217,          4,              103978
+10:42:29.46,-30:53:06.2,     +0.008216,          3,               51930
+09:30:16.46,-30:36:40.0,     +0.008215,          4,               44780
+10:40:11.83,-09:56:40.5,     +0.008211,          4,               50826
+03:28:54.55,-12:09:12.1,     +0.008210,          4,              123820
+15:04:02.65,-10:44:19.3,     +0.008210,          4,               76702
+12:43:37.92,-42:15:58.9,     +0.008208,          4,               62606
+09:21:00.57,-33:11:29.5,     +0.008208,          4,              126980
+13:20:19.45,-37:05:35.2,     +0.008207,          4,               67619
+13:45:06.80,-28:39:04.4,     +0.008204,          4,               69597
+22:43:33.29,-45:19:39.2,     +0.008200,          4,              135896
+09:53:58.64,-27:17:10.8,     +0.008198,          4,               46628
+11:53:45.86,-08:00:58.7,     +0.008198,          4,               57288
+09:56:25.67,-26:05:41.9,     +0.008198,          4,               46709
+10:28:23.97,-35:31:46.8,     +0.008197,          4,               49029
+21:58:24.45,-32:14:11.5,     +0.008195,          4,              103965
+13:01:50.60,-41:52:31.5,     +0.008193,          4,               62661
+23:31:53.51,-02:09:21.7,     +0.008193,          4,              113704
+10:16:06.83,-27:48:00.0,     +0.008191,          4,               48569
+03:09:00.94,-02:44:55.4,     +0.008189,          4,               18778
+22:17:41.24,-23:43:51.6,     +0.008188,          4,              107368
+13:00:56.17,-28:21:12.1,     +0.008180,          4,               64644
+12:46:54.75,-11:38:13.5,     +0.008178,          4,               62803
+13:12:54.50,-16:45:57.0,     +0.008175,          4,               65583
+10:31:03.23,-34:40:18.8,     +0.008175,          3,               50429
+11:58:07.98,-17:53:36.3,     +0.008173,          4,               58277
+12:51:00.90,-41:43:20.8,     +0.008170,          4,               62601
+15:20:30.73,-24:28:10.0,     +0.008165,          4,               78944
+13:06:28.95,-13:34:17.9,     +0.008160,          4,               63925
+12:08:41.44,-31:50:40.8,     +0.008158,          4,               57972
+02:01:30.33,-07:17:30.7,     +0.008152,          4,              122657
+14:40:21.79,-14:18:26.0,     +0.008152,          4,               75125
+12:48:09.72,-10:11:11.5,     +0.008151,          4,               61665
+09:49:59.16,-25:00:32.7,     +0.008141,          4,               46649
+11:10:48.57,-37:26:52.3,     +0.008140,          4,               53325
+19:31:02.14,-86:00:56.3,     +0.008137,          4,               92320
+13:12:56.08,-32:41:38.1,     +0.008136,          4,               66767
+04:51:13.39,-31:51:36.2,     +0.008135,          4,              118491
+09:24:40.67,-25:05:33.7,     +0.008131,          4,               44685
+13:42:28.94,-78:33:32.9,     +0.008127,          4,               72668
+10:37:49.52,-27:07:16.4,     +0.008121,          4,               50292
+15:18:13.05,-24:11:45.9,     +0.008120,          4,               78948
+09:20:44.62,-34:26:28.3,     +0.008120,          4,               44513
+14:55:19.99,-25:28:23.1,     +0.008119,          3,               77491
+12:42:08.79,-16:29:42.1,     +0.008115,          4,               62897
+06:52:55.79,-27:59:57.1,     +0.008115,          4,               38871
+06:44:22.52,-26:06:31.8,     +0.008115,          3,              134201
+15:20:30.73,-24:28:10.0,     +0.008098,          4,               78130
+10:29:51.50,-34:54:42.0,     +0.008094,          4,               50459
+13:57:50.64,-43:55:52.7,     +0.008092,          4,               71009
+09:33:35.13,-25:08:09.8,     +0.008090,          4,               45628
+21:02:30.76,-19:27:51.7,     +0.008089,          4,               97998
+09:59:55.51,-29:37:03.3,     +0.008086,          4,               48170
+13:10:24.96,-16:55:57.5,     +0.008085,          4,               65580
+10:31:52.19,-35:12:17.7,     +0.008085,          4,               50434
+06:51:04.14,-27:56:32.2,     +0.008084,          4,               38870
+12:23:36.98,-32:48:54.7,     +0.008082,          4,               59615
+14:56:38.63,-16:29:16.3,     +0.008081,          4,               76074
+10:19:33.92,-26:41:55.4,     +0.008079,          4,               49157
+02:18:51.92,-03:02:27.5,     +0.008078,          4,               13582
+22:14:08.67,-43:17:19.8,     +0.008078,          4,              106341
+13:09:16.74,-16:53:11.8,     +0.008075,          4,               65575
+10:23:08.18,-39:37:26.1,     +0.008074,          4,               50002
+13:34:41.06,-35:02:08.6,     +0.008073,          4,               69803
+10:39:30.42,-09:46:08.6,     +0.008071,          4,               50821
+20:28:17.84,-35:51:02.9,     +0.008070,          4,               94609
+10:00:31.67,-31:14:42.0,     +0.008068,          4,               48156
+09:58:21.24,-25:10:26.4,     +0.008067,          4,               46664
+10:30:29.17,-35:36:38.3,     +0.008067,          4,               51003
+22:00:32.92,-43:23:23.0,     +0.008064,          4,              106316
+12:59:29.51,-41:38:39.8,     +0.008058,          4,               63816
+09:57:49.59,-31:00:39.2,     +0.008058,          4,               46002
+02:29:31.66,-03:12:46.7,     +0.008056,          4,               13719
+11:54:25.08,-02:19:10.9,     +0.008045,          4,               57718
+05:52:11.40,-07:27:22.3,     +0.008039,          4,               34405
+13:37:18.15,-28:39:29.4,     +0.008025,          4,               67165
+09:59:29.54,-22:49:34.9,     +0.008025,          4,               46682
+13:13:56.23,-16:16:24.4,     +0.008022,          4,               65588
+20:09:08.48,-48:07:17.7,     +0.008022,          3,              130410
+10:02:21.94,-25:21:16.2,     +0.008018,          4,               46704
+21:02:11.61,-48:34:19.1,     +0.008013,          4,              130776
+11:54:18.27,-17:05:40.3,     +0.008011,          4,              128147
+15:03:36.35,-13:20:26.8,     +0.008011,          4,               76716
+10:35:07.72,-27:59:28.6,     +0.008010,          4,               49917
+13:31:16.08,-25:27:17.5,     +0.008000,          4,               67697
+13:13:54.15,-16:29:27.4,     +0.007997,          4,               65112
+13:14:34.86,-16:29:28.9,     +0.007996,          4,               65589
+13:29:13.90,-33:10:25.8,     +0.007994,          4,               67810
+13:55:16.29,-28:45:46.8,     +0.007992,          4,               71343
+13:20:41.94,-23:17:22.3,     +0.007991,          3,              128568
+03:06:29.30,-15:34:08.7,     +0.007989,          4,               18899
+08:39:45.24,-23:27:31.6,     +0.007987,          4,               42280
+09:54:28.60,-25:42:12.4,     +0.007987,          4,               46673
+15:06:33.31,-12:43:01.4,     +0.007982,          4,               76712
+13:00:24.78,-41:32:39.3,     +0.007979,          4,               63142
+11:04:43.68,-29:06:34.2,     +0.007976,          4,               53957
+13:15:14.17,-32:15:14.0,     +0.007976,          4,               66773
+09:59:28.45,-26:51:50.0,     +0.007976,          4,               46735
+13:16:36.36,-22:04:53.4,     +0.007976,          4,              128562
+06:59:13.35,-29:10:05.9,     +0.007974,          4,               38948
+09:26:19.67,-28:02:06.7,     +0.007973,          4,               44846
+12:50:29.41,-10:51:15.9,     +0.007969,          4,               62525
+21:31:47.30,-42:50:51.6,     +0.007967,          4,              103101
+22:23:33.26,-42:16:28.4,     +0.007966,          4,              136060
+13:05:20.20,-35:20:14.7,     +0.007962,          4,               63653
+05:09:21.15,-11:06:48.0,     +0.007959,          4,               29744
+20:28:18.11,-35:51:01.3,     +0.007959,          4,               95876
+14:45:25.76,-20:41:09.3,     +0.007952,          4,              129113
+10:36:51.00,-26:02:27.8,     +0.007950,          4,               49831
+08:57:38.35,-19:02:38.3,     +0.007948,          4,              126828
+11:50:42.54,-10:13:12.0,     +0.007934,          4,              128101
+10:06:31.43,-32:02:35.5,     +0.007934,          4,               48144
+14:38:15.98,-22:19:28.6,     +0.007928,          4,               74590
+09:44:33.29,-14:30:29.1,     +0.007921,          4,               45765
+09:30:56.01,-35:41:03.5,     +0.007917,          4,               45613
+10:46:04.09,-09:48:43.8,     +0.007912,          4,               50702
+13:20:59.69,-12:28:16.5,     +0.007910,          4,               66421
+13:23:44.83,-78:41:02.6,     +0.007909,          3,               60653
+20:28:34.97,-36:02:35.5,     +0.007907,          4,               94597
+11:11:18.57,-36:52:31.9,     +0.007906,          4,               53315
+23:31:03.38,-02:13:49.8,     +0.007903,          4,              113705
+15:12:03.25,-25:53:13.4,     +0.007893,          4,               77563
+01:01:59.02,-06:23:06.7,     +0.007892,          4,              122169
+02:58:24.28,-04:17:43.6,     +0.007891,          4,               16610
+07:10:06.55,-63:15:43.7,     +0.007889,          4,               39867
+18:12:00.61,-58:58:31.4,     +0.007887,          4,               86256
+12:59:20.01,-29:10:45.6,     +0.007886,          4,              122099
+20:32:10.09,-49:30:56.3,     +0.007884,          4,              130735
+13:15:00.04,-17:16:04.7,     +0.007877,          4,               65124
+15:12:03.25,-25:53:13.4,     +0.007876,          4,               78163
+04:54:52.83,-37:19:15.7,     +0.007873,          3,               27665
+22:40:24.28,-40:01:51.6,     +0.007871,          3,              108070
+09:23:36.50,-26:52:54.6,     +0.007865,          4,               45353
+10:11:01.66,-14:40:40.8,     +0.007858,          4,               48486
+22:45:31.68,-39:20:30.7,     +0.007857,          4,              109939
+09:56:04.40,-27:06:24.1,     +0.007855,          4,               46627
+15:14:32.09,-23:06:50.4,     +0.007850,          4,              129518
+10:08:22.01,-14:48:36.4,     +0.007841,          4,               46822
+09:30:17.00,-30:23:06.1,     +0.007840,          4,               44882
+15:18:27.06,-24:39:17.6,     +0.007838,          4,               78165
